TEAM,MATCH_UP,GAME_DATE,W_L,MIN,PTS,FGM,FGA,FGp,PM_3,PA_3,Pp_3,FTM,FTA,FTp,OREB,DREB,REB,AST,TOV,STL,BLK,PF,plus_minus
WAS,WAS @ PHO,7/14/22,L,40,75,22,65,33.8,8,27,29.6,23,26,88.5,11,31,42,15,19,4,2,19,-5
CHI,CHI @ LAS,7/14/22,W,40,80,33,68,48.5,8,19,42.1,6,8,75,8,29,37,22,19,9,6,14,12
MIN,MIN vs. DAL,7/14/22,L,40,87,30,70,42.9,6,15,40,21,26,80.8,14,26,40,13,17,6,1,22,-5
NYL,NYL vs. LVA,7/14/22,L,40,74,22,63,34.9,8,26,30.8,22,25,88,5,25,30,18,12,5,5,15,-34
LVA,LVA @ NYL,7/14/22,W,40,108,38,71,53.5,16,33,48.5,16,21,76.2,6,34,40,32,10,9,3,16,34
CON,CON @ IND,7/13/22,W,40,89,31,67,46.3,6,19,31.6,21,24,87.5,10,28,38,18,17,12,5,20,8
IND,IND vs. CON,7/13/22,L,40,81,30,68,44.1,6,21,28.6,15,19,78.9,7,19,26,21,17,9,1,21,-8
LVA,LVA @ NYL,7/12/22,W,40,107,33,64,51.6,7,21,33.3,34,35,97.1,8,28,36,21,15,8,3,18,6
NYL,NYL vs. LVA,7/12/22,L,40,101,34,76,44.7,15,31,48.4,18,22,81.8,9,18,27,24,12,8,4,25,-6
SEA,SEA vs. DAL,7/12/22,W,40,83,30,63,47.6,7,17,41.2,16,18,88.9,6,28,34,22,15,6,6,18,9
MIN,MIN vs. PHO,7/12/22,W,50,118,41,86,47.7,11,27,40.7,25,35,71.4,19,36,55,27,22,5,1,21,11
DAL,DAL @ SEA,7/12/22,L,40,74,27,72,37.5,7,23,30.4,13,18,72.2,11,24,35,17,13,10,4,19,-9
WAS,WAS @ LAS,7/12/22,W,40,94,33,65,50.8,10,22,45.5,18,21,85.7,9,26,35,24,13,10,2,18,13
CHI,CHI vs. ATL,7/12/22,W,40,90,35,66,53,5,14,35.7,15,21,71.4,7,27,34,24,13,11,3,16,15
PHO,PHO @ MIN,7/12/22,L,50,107,37,100,37,15,50,30,18,24,75,21,23,44,27,9,13,9,32,-11
LAS,LAS vs. WAS,7/12/22,L,40,81,29,56,51.8,9,13,69.2,14,21,66.7,3,20,23,16,18,5,3,18,-13
ATL,ATL @ CHI,7/12/22,L,40,75,29,69,42,10,23,43.5,7,10,70,10,23,33,17,17,7,3,20,-15
PHO,PHO vs. NYL,7/7/22,W,40,84,27,66,40.9,9,30,30,21,24,87.5,6,24,30,20,11,11,4,17,3
NYL,NYL @ PHO,7/7/22,L,40,81,30,71,42.3,7,23,30.4,14,16,87.5,11,29,40,20,15,5,5,21,-3
IND,IND vs. CHI,7/7/22,L,40,84,33,82,40.2,9,20,45,9,14,64.3,10,17,27,22,11,7,0,16,-9
LAS,LAS vs. SEA,7/7/22,L,40,69,26,70,37.1,5,19,26.3,12,13,92.3,8,16,24,18,12,7,3,11,-37
SEA,SEA @ LAS,7/7/22,W,40,106,42,65,64.6,8,17,47.1,14,17,82.4,7,29,36,30,12,9,3,12,37
CHI,CHI @ IND,7/7/22,W,40,93,34,62,54.8,5,12,41.7,20,26,76.9,8,33,41,25,17,2,4,15,9
CHI,CHI @ MIN,7/6/22,L,40,78,31,78,39.7,10,33,30.3,6,7,85.7,12,26,38,24,15,7,4,14,-3
NYL,NYL @ LVA,7/6/22,W,40,116,42,73,57.5,18,31,58.1,14,16,87.5,6,29,35,35,9,2,3,19,9
WAS,WAS @ ATL,7/6/22,W,40,85,31,63,49.2,7,20,35,16,23,69.6,4,27,31,13,9,8,3,16,19
ATL,ATL vs. WAS,7/6/22,L,40,66,26,62,41.9,0,12,0,14,17,82.4,3,28,31,15,15,7,0,18,-19
MIN,MIN vs. CHI,7/6/22,W,40,81,30,62,48.4,4,14,28.6,17,20,85,6,26,32,21,17,13,1,12,3
LVA,LVA vs. NYL,7/6/22,L,40,107,34,69,49.3,13,27,48.1,26,30,86.7,6,25,31,22,7,4,1,13,-9
SEA,SEA @ IND,7/5/22,W,40,95,37,76,48.7,6,24,25,15,16,93.8,10,33,43,20,12,8,5,14,22
DAL,DAL vs. CON,7/5/22,W,40,82,32,71,45.1,6,26,23.1,12,17,70.6,11,23,34,19,10,6,6,14,11
CON,CON @ DAL,7/5/22,L,40,71,28,65,43.1,4,20,20,11,14,78.6,4,25,29,20,14,4,4,15,-11
IND,IND vs. SEA,7/5/22,L,40,73,28,73,38.4,7,20,35,10,17,58.8,9,27,36,14,15,6,1,16,-22
PHO,PHO @ LAS,7/4/22,L,40,75,26,57,45.6,8,27,29.6,15,16,93.8,6,24,30,21,22,11,3,25,-3
LAS,LAS vs. PHO,7/4/22,W,40,78,27,60,45,5,14,35.7,19,25,76,7,25,32,18,20,10,0,16,3
SEA,SEA @ ATL,7/3/22,L,40,76,22,63,34.9,9,32,28.1,23,26,88.5,2,28,30,17,14,11,4,16,-14
LVA,LVA @ MIN,7/3/22,L,40,71,25,68,36.8,12,37,32.4,9,11,81.8,1,24,25,17,6,6,4,15,-31
CON,CON vs. WAS,7/3/22,W,45,74,30,69,43.5,6,18,33.3,8,16,50,6,32,38,17,20,11,7,18,2
LAS,LAS vs. NYL,7/3/22,W,40,84,30,64,46.9,6,16,37.5,18,22,81.8,8,29,37,19,16,8,4,13,10
MIN,MIN vs. LVA,7/3/22,W,40,102,37,74,50,12,29,41.4,16,23,69.6,15,38,53,26,10,5,3,12,31
NYL,NYL @ LAS,7/3/22,L,40,74,27,68,39.7,12,33,36.4,8,12,66.7,7,21,28,22,17,7,2,16,-10
ATL,ATL vs. SEA,7/3/22,W,40,90,33,70,47.1,7,18,38.9,17,19,89.5,9,35,44,24,17,7,0,23,14
WAS,WAS @ CON,7/3/22,L,45,72,27,69,39.1,4,21,19,14,20,70,9,28,37,16,19,10,4,16,-2
PHO,PHO @ CHI,7/2/22,L,40,75,27,66,40.9,5,20,25,16,19,84.2,7,20,27,15,18,14,2,24,-16
CHI,CHI vs. PHO,7/2/22,W,40,91,30,57,52.6,10,20,50,21,24,87.5,5,32,37,24,22,6,3,17,16
MIN,MIN vs. LVA,7/1/22,L,40,85,31,68,45.6,11,25,44,12,16,75,6,23,29,19,13,8,3,17,-6
LVA,LVA @ MIN,7/1/22,W,40,91,36,70,51.4,9,24,37.5,10,13,76.9,7,27,34,25,15,8,5,15,6
DAL,DAL vs. LAS,7/1/22,L,40,89,33,66,50,6,19,31.6,17,25,68,3,26,29,19,13,8,2,19,-8
SEA,SEA vs. IND,7/1/22,W,40,73,25,59,42.4,6,22,27.3,17,23,73.9,5,34,39,22,19,11,5,15,16
LAS,LAS @ DAL,7/1/22,W,40,97,37,76,48.7,7,19,36.8,16,19,84.2,5,24,29,24,11,9,3,20,8
IND,IND @ SEA,7/1/22,L,40,57,21,61,34.4,4,17,23.5,11,23,47.8,7,28,35,13,20,11,2,17,-16
NYL,NYL vs. ATL,6/30/22,L,45,81,26,66,39.4,10,31,32.3,19,24,79.2,6,29,35,19,19,7,7,26,-11
ATL,ATL @ NYL,6/30/22,W,45,92,31,81,38.3,9,24,37.5,21,26,80.8,12,29,41,21,15,8,3,25,11
IND,IND @ PHO,6/29/22,L,40,78,27,63,42.9,9,21,42.9,15,21,71.4,10,20,30,18,14,4,3,18,-21
PHO,PHO vs. IND,6/29/22,W,40,99,38,70,54.3,9,24,37.5,14,19,73.7,11,21,32,29,8,7,6,20,21
CHI,CHI vs. CON,6/29/22,W,40,91,32,54,59.3,10,20,50,17,17,100,5,28,33,28,24,3,6,14,8
LVA,LVA @ SEA,6/29/22,L,40,78,29,73,39.7,9,24,37.5,11,12,91.7,11,29,40,23,20,7,1,12,-10
SEA,SEA vs. LVA,6/29/22,W,40,88,31,70,44.3,14,29,48.3,12,14,85.7,5,28,33,24,13,10,6,12,10
CON,CON @ CHI,6/29/22,L,40,83,32,80,40,6,19,31.6,13,16,81.3,15,16,31,22,7,15,3,14,-8
MIN,MIN vs. DAL,6/28/22,W,40,92,34,80,42.5,12,29,41.4,12,17,70.6,17,36,53,22,13,7,6,22,28
WAS,WAS vs. ATL,6/28/22,W,40,92,32,58,55.2,15,25,60,13,18,72.2,6,24,30,24,15,7,3,18,18
ATL,ATL @ WAS,6/28/22,L,40,74,28,66,42.4,5,20,25,13,15,86.7,8,18,26,19,14,9,0,16,-18
DAL,DAL @ MIN,6/28/22,L,40,64,17,59,28.8,5,16,31.3,25,32,78.1,5,25,30,10,10,4,5,14,-28
PHO,PHO vs. IND,6/27/22,W,40,83,26,69,37.7,13,33,39.4,18,20,90,9,21,30,19,10,8,5,22,12
IND,IND @ PHO,6/27/22,L,40,71,24,60,40,7,12,58.3,16,20,80,10,26,36,13,19,4,4,24,-12
LVA,LVA @ LAS,6/27/22,W,40,79,26,61,42.6,8,27,29.6,19,26,73.1,6,31,37,15,14,9,2,16,6
LAS,LAS vs. LVA,6/27/22,L,40,73,28,73,38.4,7,23,30.4,10,15,66.7,11,29,40,23,13,4,3,21,-6
MIN,MIN @ CHI,6/26/22,L,40,85,33,56,58.9,6,16,37.5,13,17,76.5,3,25,28,23,18,4,4,16,-3
CON,CON @ ATL,6/26/22,W,40,72,27,65,41.5,2,20,10,16,19,84.2,10,30,40,18,21,8,2,19,11
ATL,ATL vs. CON,6/26/22,L,40,61,21,63,33.3,5,19,26.3,14,18,77.8,6,23,29,17,18,10,5,21,-11
CHI,CHI vs. MIN,6/26/22,W,40,88,33,65,50.8,8,18,44.4,14,17,82.4,6,20,26,25,15,7,2,16,3
PHO,PHO @ DAL,6/25/22,W,40,83,29,69,42,6,26,23.1,19,24,79.2,7,31,38,16,10,7,4,25,11
WAS,WAS @ LVA,6/25/22,W,45,87,32,68,47.1,11,30,36.7,12,16,75,3,39,42,24,20,10,8,21,1
DAL,DAL vs. PHO,6/25/22,L,40,72,29,67,43.3,4,21,19,10,21,47.6,6,32,38,21,16,3,4,24,-11
LVA,LVA vs. WAS,6/25/22,L,45,86,31,81,38.3,10,24,41.7,14,16,87.5,8,30,38,14,15,17,4,21,-1
LAS,LAS @ SEA,6/25/22,W,40,85,34,72,47.2,8,20,40,9,13,69.2,10,31,41,26,16,7,1,17,8
SEA,SEA vs. LAS,6/25/22,L,40,77,26,63,41.3,8,27,29.6,17,22,77.3,5,21,26,21,14,9,6,16,-8
ATL,ATL vs. NYL,6/24/22,L,40,77,26,71,36.6,7,17,41.2,18,20,90,9,22,31,13,11,8,5,14,-12
NYL,NYL @ ATL,6/24/22,W,40,89,32,68,47.1,16,35,45.7,9,15,60,9,30,39,23,17,5,3,17,12
SEA,SEA vs. WAS,6/23/22,W,40,85,31,68,45.6,12,26,46.2,11,12,91.7,5,31,36,25,8,5,4,10,14
WAS,WAS @ SEA,6/23/22,L,40,71,26,70,37.1,9,30,30,10,12,83.3,11,32,43,19,12,4,2,12,-14
PHO,PHO @ MIN,6/23/22,L,40,88,27,58,46.6,9,28,32.1,25,30,83.3,2,21,23,16,12,7,4,22,-12
MIN,MIN vs. PHO,6/23/22,W,40,100,34,67,50.7,8,23,34.8,24,29,82.8,11,31,42,25,16,6,0,20,12
CHI,CHI @ LAS,6/23/22,W,40,82,32,70,45.7,7,23,30.4,11,11,100,6,43,49,26,14,6,4,11,23
LAS,LAS vs. CHI,6/23/22,L,40,59,26,79,32.9,3,18,16.7,4,8,50,7,27,34,18,9,7,2,13,-23
DAL,DAL vs. IND,6/23/22,W,40,94,34,68,50,11,23,47.8,15,19,78.9,8,27,35,20,14,13,5,16,26
IND,IND @ DAL,6/23/22,L,40,68,25,63,39.7,6,17,35.3,12,16,75,10,23,33,13,19,4,2,17,-26
CON,CON vs. NYL,6/22/22,L,40,77,31,74,41.9,5,15,33.3,10,12,83.3,8,26,34,16,11,4,2,12,-4
NYL,NYL @ CON,6/22/22,W,40,81,31,69,44.9,13,32,40.6,6,8,75,5,28,33,25,12,2,6,14,4
CHI,CHI @ LVA,6/21/22,W,40,104,43,75,57.3,12,25,48,6,7,85.7,0,33,33,34,9,6,3,14,9
DAL,DAL @ ATL,6/21/22,L,40,75,25,66,37.9,6,25,24,19,26,73.1,11,20,31,18,16,10,2,22,-5
PHO,PHO vs. MIN,6/21/22,L,40,71,23,58,39.7,10,30,33.3,15,22,68.2,4,28,32,15,17,6,2,19,-13
LVA,LVA vs. CHI,6/21/22,L,40,95,33,75,44,13,31,41.9,16,19,84.2,6,29,35,23,9,8,4,6,-9
MIN,MIN @ PHO,6/21/22,W,40,84,28,64,43.8,10,25,40,18,20,90,8,28,36,24,12,8,0,19,13
LAS,LAS vs. WAS,6/21/22,W,40,84,33,67,49.3,6,14,42.9,12,17,70.6,9,25,34,21,17,11,5,19,2
ATL,ATL vs. DAL,6/21/22,W,40,80,29,64,45.3,10,22,45.5,12,15,80,10,25,35,18,22,5,4,19,5
WAS,WAS @ LAS,6/21/22,L,40,82,29,70,41.4,11,23,47.8,13,18,72.2,14,18,32,23,17,10,3,16,-2
LVA,LVA vs. MIN,6/19/22,W,40,96,35,78,44.9,9,25,36,17,20,85,7,26,33,23,6,7,3,10,1
SEA,SEA @ NYL,6/19/22,W,40,81,32,75,42.7,10,27,37,7,8,87.5,5,33,38,21,10,6,4,11,9
LAS,LAS @ DAL,6/19/22,L,40,82,28,69,40.6,5,20,25,21,28,75,10,32,42,17,17,10,5,21,-10
WAS,WAS vs. CON,6/19/22,W,40,71,27,65,41.5,6,19,31.6,11,17,64.7,5,25,30,21,10,8,6,15,8
NYL,NYL vs. SEA,6/19/22,L,40,72,30,75,40,10,27,37,2,5,40,8,35,43,20,14,5,4,15,-9
DAL,DAL vs. LAS,6/19/22,W,40,92,32,71,45.1,13,29,44.8,15,22,68.2,8,31,39,20,14,9,5,25,10
IND,IND vs. CHI,6/19/22,W,40,89,35,69,50.7,2,8,25,17,25,68,9,30,39,19,15,7,6,18,2
MIN,MIN @ LVA,6/19/22,L,40,95,39,81,48.1,11,32,34.4,6,7,85.7,11,34,45,26,12,2,4,16,-1
CHI,CHI @ IND,6/19/22,L,40,87,33,70,47.1,9,20,45,12,16,75,5,22,27,21,14,8,5,22,-2
CON,CON @ WAS,6/19/22,L,40,63,22,60,36.7,6,19,31.6,13,18,72.2,11,32,43,15,17,6,3,14,-8
CON,CON vs. SEA,6/17/22,W,40,82,36,69,52.2,5,20,25,5,8,62.5,6,34,40,25,15,8,5,14,11
PHO,PHO @ DAL,6/17/22,L,40,88,31,65,47.7,8,22,36.4,18,22,81.8,5,19,24,22,14,6,4,23,-5
CHI,CHI vs. ATL,6/17/22,W,45,106,35,75,46.7,14,25,56,22,25,88,11,36,47,24,17,9,7,22,6
SEA,SEA @ CON,6/17/22,L,40,71,28,66,42.4,11,22,50,4,8,50,4,22,26,22,14,6,2,13,-11
ATL,ATL @ CHI,6/17/22,L,45,100,39,87,44.8,8,22,36.4,14,21,66.7,14,25,39,23,15,9,9,18,-6
DAL,DAL vs. PHO,6/17/22,W,40,93,33,68,48.5,12,25,48,15,19,78.9,9,22,31,18,14,4,6,20,5
NYL,NYL vs. WAS,6/16/22,W,40,77,31,69,44.9,6,31,19.4,9,13,69.2,5,33,38,21,11,9,3,14,12
WAS,WAS @ NYL,6/16/22,L,40,65,24,65,36.9,8,29,27.6,9,14,64.3,5,32,37,14,13,6,4,14,-12
ATL,ATL @ CON,6/15/22,L,40,92,35,76,46.1,12,29,41.4,10,16,62.5,13,24,37,18,16,9,5,19,-13
IND,IND vs. PHO,6/15/22,L,40,80,29,78,37.2,6,21,28.6,16,18,88.9,16,23,39,19,14,7,4,19,-13
LVA,LVA @ DAL,6/15/22,W,40,92,35,71,49.3,6,22,27.3,16,23,69.6,4,29,33,17,8,5,6,12,8
DAL,DAL vs. LVA,6/15/22,L,40,84,29,73,39.7,10,29,34.5,16,19,84.2,11,29,40,20,11,2,3,20,-8
CON,CON vs. ATL,6/15/22,W,40,105,40,77,51.9,14,26,53.8,11,15,73.3,7,26,33,30,11,8,4,17,13
PHO,PHO @ IND,6/15/22,W,40,93,34,67,50.7,8,26,30.8,17,18,94.4,5,28,33,24,12,6,9,20,13
PHO,PHO @ WAS,6/14/22,L,40,65,24,62,38.7,10,26,38.5,7,16,43.8,4,31,35,21,16,7,6,17,-18
SEA,SEA @ MIN,6/14/22,W,40,81,28,73,38.4,12,27,44.4,13,15,86.7,15,20,35,24,14,5,2,14,2
WAS,WAS vs. PHO,6/14/22,W,40,83,30,71,42.3,11,28,39.3,12,13,92.3,4,32,36,23,10,7,4,14,18
MIN,MIN vs. SEA,6/14/22,L,40,79,35,68,51.5,6,19,31.6,3,3,100,6,27,33,27,16,5,1,15,-2
CHI,CHI @ NYL,6/12/22,W,40,88,35,76,46.1,6,18,33.3,12,14,85.7,12,29,41,28,13,4,6,18,2
IND,IND @ MIN,6/12/22,W,40,84,33,70,47.1,10,23,43.5,8,12,66.7,8,22,30,25,11,5,9,18,4
WAS,WAS vs. PHO,6/12/22,L,45,90,30,75,40,8,29,27.6,22,34,64.7,14,28,42,23,20,8,1,19,-9
SEA,SEA @ DAL,6/12/22,W,40,84,29,62,46.8,10,23,43.5,16,18,88.9,5,18,23,23,10,12,6,13,5
NYL,NYL vs. CHI,6/12/22,L,40,86,32,66,48.5,11,23,47.8,11,12,91.7,2,24,26,22,14,4,6,18,-2
DAL,DAL vs. SEA,6/12/22,L,40,79,31,69,44.9,6,17,35.3,11,13,84.6,14,25,39,18,19,7,4,17,-5
PHO,PHO @ WAS,6/12/22,W,45,99,36,70,51.4,10,32,31.3,17,21,81,4,26,30,21,17,10,3,28,9
MIN,MIN vs. IND,6/12/22,L,40,80,32,71,45.1,5,21,23.8,11,16,68.8,9,27,36,23,12,6,1,13,-4
LVA,LVA @ LAS,6/11/22,W,40,89,33,68,48.5,7,24,29.2,16,17,94.1,6,35,41,19,19,11,7,13,17
LAS,LAS vs. LVA,6/11/22,L,40,72,26,71,36.6,7,22,31.8,13,14,92.9,5,25,30,18,13,7,8,20,-17
PHO,PHO vs. ATL,6/10/22,W,40,90,28,67,41.8,10,31,32.3,24,28,85.7,7,31,38,19,9,1,6,14,2
ATL,ATL @ PHO,6/10/22,L,40,88,35,79,44.3,10,24,41.7,8,9,88.9,6,30,36,16,5,6,4,19,-2
CON,CON vs. CHI,6/10/22,L,40,79,35,76,46.1,4,12,33.3,5,9,55.6,9,26,35,20,10,4,1,17,-4
CHI,CHI @ CON,6/10/22,W,40,83,31,61,50.8,6,14,42.9,15,17,88.2,4,25,29,25,13,8,4,17,4
WAS,WAS @ MIN,6/10/22,W,40,76,30,69,43.5,10,30,33.3,6,9,66.7,9,30,39,18,11,6,1,20,17
IND,IND vs. NYL,6/10/22,L,40,83,31,75,41.3,4,14,28.6,17,21,81,10,19,29,19,5,5,0,13,-14
SEA,SEA @ DAL,6/10/22,W,40,89,37,67,55.2,7,17,41.2,8,13,61.5,8,26,34,28,18,7,2,18,1
MIN,MIN vs. WAS,6/10/22,L,40,59,19,58,32.8,6,21,28.6,15,22,68.2,4,28,32,15,17,2,1,13,-17
NYL,NYL @ IND,6/10/22,W,40,97,38,65,58.5,13,28,46.4,8,8,100,4,29,33,31,15,2,2,14,14
